X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-75.6791,45.40278,0,0,165,33,2017/05/06 13:48:42+00,,,,,,,,,,,,,,,,,,,,,
-75.67908,45.402668,0,0,166,33,2017/05/06 13:48:47+00,,,,,,,,,,,,,,,,,,,,,
-75.67905,45.402573,0,0,167,33,2017/05/06 13:48:51+00,,,,,,,,,,,,,,,,,,,,,
-75.67903,45.40248,0,0,168,33,2017/05/06 13:48:55+00,,,,,,,,,,,,,,,,,,,,,
-75.67899,45.402378,0,0,169,32,2017/05/06 13:49:00+00,,,,,,,,,,,,,,,,,,,,,
-75.67895,45.402287,0,0,170,32,2017/05/06 13:49:05+00,,,,,,,,,,,,,,,,,,,,,
-75.6789,45.402187,0,0,171,33,2017/05/06 13:49:09+00,,,,,,,,,,,,,,,,,,,,,
-75.67884,45.402092,0,0,172,33,2017/05/06 13:49:14+00,,,,,,,,,,,,,,,,,,,,,
-75.67877,45.40199,0,0,173,33,2017/05/06 13:49:19+00,,,,,,,,,,,,,,,,,,,,,
-75.67864,45.40181,0,0,174,33,2017/05/06 13:49:27+00,,,,,,,,,,,,,,,,,,,,,
-75.678566,45.401726,0,0,175,33,2017/05/06 13:49:32+00,,,,,,,,,,,,,,,,,,,,,
-75.67847,45.401638,0,0,176,33,2017/05/06 13:49:37+00,,,,,,,,,,,,,,,,,,,,,
-75.678345,45.401363,0,0,177,32,2017/05/06 13:49:54+00,,,,,,,,,,,,,,,,,,,,,
-75.678185,45.401196,0,0,178,30,2017/05/06 13:50:02+00,,,,,,,,,,,,,,,,,,,,,
-75.678154,45.401104,0,0,179,30,2017/05/06 13:50:07+00,,,,,,,,,,,,,,,,,,,,,
-75.678154,45.400898,0,0,180,30,2017/05/06 13:50:17+00,,,,,,,,,,,,,,,,,,,,,
-75.67814,45.400803,0,0,181,29,2017/05/06 13:50:21+00,,,,,,,,,,,,,,,,,,,,,
-75.67817,45.400585,0,0,182,29,2017/05/06 13:50:31+00,,,,,,,,,,,,,,,,,,,,,
-75.67822,45.40039,0,0,183,30,2017/05/06 13:50:41+00,,,,,,,,,,,,,,,,,,,,,
-75.67825,45.400284,0,0,184,30,2017/05/06 13:50:46+00,,,,,,,,,,,,,,,,,,,,,
-75.67827,45.400185,0,0,185,31,2017/05/06 13:50:50+00,,,,,,,,,,,,,,,,,,,,,
-75.67828,45.400074,0,0,186,31,2017/05/06 13:50:55+00,,,,,,,,,,,,,,,,,,,,,
-75.6783,45.39996,0,0,187,32,2017/05/06 13:51:00+00,,,,,,,,,,,,,,,,,,,,,
-75.67832,45.399857,0,0,188,32,2017/05/06 13:51:04+00,,,,,,,,,,,,,,,,,,,,,
-75.678345,45.399757,0,0,189,33,2017/05/06 13:51:09+00,,,,,,,,,,,,,,,,,,,,,
-75.67841,45.39956,0,0,190,34,2017/05/06 13:51:20+00,,,,,,,,,,,,,,,,,,,,,
-75.67846,45.399364,0,0,191,35,2017/05/06 13:51:28+00,,,,,,,,,,,,,,,,,,,,,
-75.6785,45.39927,0,0,192,36,2017/05/06 13:51:33+00,,,,,,,,,,,,,,,,,,,,,
-75.67852,45.399178,0,0,193,36,2017/05/06 13:51:37+00,,,,,,,,,,,,,,,,,,,,,
-75.67854,45.399063,0,0,194,37,2017/05/06 13:51:42+00,,,,,,,,,,,,,,,,,,,,,
-75.67857,45.398975,0,0,195,37,2017/05/06 13:51:46+00,,,,,,,,,,,,,,,,,,,,,
-75.67859,45.398884,0,0,196,38,2017/05/06 13:51:50+00,,,,,,,,,,,,,,,,,,,,,
-75.678665,45.39869,0,0,197,38,2017/05/06 13:51:59+00,,,,,,,,,,,,,,,,,,,,,
-75.67878,45.39851,0,0,198,38,2017/05/06 13:52:08+00,,,,,,,,,,,,,,,,,,,,,
-75.67886,45.398422,0,0,199,38,2017/05/06 13:52:12+00,,,,,,,,,,,,,,,,,,,,,
-75.67906,45.39828,0,0,200,37,2017/05/06 13:52:21+00,,,,,,,,,,,,,,,,,,,,,
-75.67912,45.398182,0,0,201,38,2017/05/06 13:52:26+00,,,,,,,,,,,,,,,,,,,,,
-75.6792,45.39809,0,0,202,38,2017/05/06 13:52:30+00,,,,,,,,,,,,,,,,,,,,,
-75.67929,45.397896,0,0,203,38,2017/05/06 13:52:38+00,,,,,,,,,,,,,,,,,,,,,
-75.67938,45.3978,0,0,204,39,2017/05/06 13:52:44+00,,,,,,,,,,,,,,,,,,,,,
-75.67946,45.39771,0,0,205,39,2017/05/06 13:52:49+00,,,,,,,,,,,,,,,,,,,,,
-75.67952,45.397633,0,0,206,39,2017/05/06 13:52:53+00,,,,,,,,,,,,,,,,,,,,,
-75.67957,45.39755,0,0,207,39,2017/05/06 13:52:57+00,,,,,,,,,,,,,,,,,,,,,
-75.67972,45.397373,0,0,208,39,2017/05/06 13:53:06+00,,,,,,,,,,,,,,,,,,,,,
-75.67979,45.397285,0,0,209,39,2017/05/06 13:53:11+00,,,,,,,,,,,,,,,,,,,,,
-75.679955,45.397114,0,0,210,39,2017/05/06 13:53:19+00,,,,,,,,,,,,,,,,,,,,,
-75.68004,45.39702,0,0,211,39,2017/05/06 13:53:24+00,,,,,,,,,,,,,,,,,,,,,
-75.68011,45.39693,0,0,212,39,2017/05/06 13:53:29+00,,,,,,,,,,,,,,,,,,,,,
-75.680176,45.396843,0,0,213,39,2017/05/06 13:53:34+00,,,,,,,,,,,,,,,,,,,,,
-75.68027,45.39675,0,0,214,40,2017/05/06 13:53:40+00,,,,,,,,,,,,,,,,,,,,,
-75.680374,45.39667,0,0,215,40,2017/05/06 13:53:45+00,,,,,,,,,,,,,,,,,,,,,
-75.6805,45.39661,0,0,216,40,2017/05/06 13:53:51+00,,,,,,,,,,,,,,,,,,,,,
-75.68058,45.39653,0,0,217,40,2017/05/06 13:53:55+00,,,,,,,,,,,,,,,,,,,,,
-75.68068,45.39646,0,0,218,41,2017/05/06 13:53:59+00,,,,,,,,,,,,,,,,,,,,,
-75.680786,45.396385,0,0,219,41,2017/05/06 13:54:04+00,,,,,,,,,,,,,,,,,,,,,
-75.68104,45.396267,0,0,220,40,2017/05/06 13:54:14+00,,,,,,,,,,,,,,,,,,,,,
-75.681175,45.396214,0,0,221,40,2017/05/06 13:54:19+00,,,,,,,,,,,,,,,,,,,,,
